hour,time,WindDayAheadForecastMW,WindIntradayForecastMW,PVDayAheadForecastMW,PVIntradayForecastMW,DayAheadPriceHourlyEURMWh,IntradayPricePriceQuarterHourlyEURMWh,IntradayPriceHourlyEURMWh,ImbalancePriceQuarterHourlyEURMWh
0,1/1/21 0:00,"4 433,00","4 709,00","0,00","0,00","50,87","44,41","48,68","13,33"
0,1/1/21 0:15,"4 286,00","4 507,00","0,00","0,00","50,87","52,14","48,68","-0,92"
0,1/1/21 0:30,"4 142,00","4 307,00","0,00","0,00","50,87","50,16","48,68","60,26"
0,1/1/21 0:45,"3 991,00","4 181,00","0,00","0,00","50,87","41,34","48,68","-12,05"
1,1/1/21 1:00,"3 847,00","4 094,00","0,00","0,00","48,19","64,42","46,17","96,09"
1,1/1/21 1:15,"3 728,00","3 939,00","0,00","0,00","48,19","52,23","46,17","94,62"
1,1/1/21 1:30,"3 612,00","3 705,00","0,00","0,00","48,19","45,80","46,17","92,21"
1,1/1/21 1:45,"3 508,00","3 626,00","0,00","0,00","48,19","45,71","46,17","27,64"
2,1/1/21 2:00,"3 410,00","3 585,00","0,00","0,00","44,68","65,53","53,73","13,71"
2,1/1/21 2:15,"3 303,00","3 483,00","0,00","0,00","44,68","60,90","53,73","11,99"
2,1/1/21 2:30,"3 217,00","3 361,00","0,00","0,00","44,68","55,71","53,73","4,31"
2,1/1/21 2:45,"3 137,00","3 255,00","0,00","0,00","44,68","53,14","53,73","-3,01"
3,1/1/21 3:00,"3 056,00","3 222,00","0,00","0,00","42,92","45,44","45,17","2,22"
3,1/1/21 3:15,"3 005,00","3 173,00","0,00","0,00","42,92","40,15","45,17","4,63"
3,1/1/21 3:30,"2 954,00","3 115,00","0,00","0,00","42,92","42,01","45,17","3,11"
3,1/1/21 3:45,"2 906,00","3 028,00","0,00","0,00","42,92","43,64","45,17","1,01"
4,1/1/21 4:00,"2 858,00","2 956,00","0,00","0,00","40,39","32,48","41,21","57,94"
4,1/1/21 4:15,"2 799,00","2 840,00","0,00","0,00","40,39","40,38","41,21","50,74"
4,1/1/21 4:30,"2 741,00","2 741,00","0,00","0,00","40,39","42,22","41,21","-16,54"
4,1/1/21 4:45,"2 682,00","2 649,00","0,00","0,00","40,39","45,27","41,21","-43,00"
5,1/1/21 5:00,"2 623,00","2 621,00","0,00","0,00","40,20","43,58","42,22","94,02"
5,1/1/21 5:15,"2 575,00","2 588,00","0,00","0,00","40,20","42,01","42,22","-4,98"
5,1/1/21 5:30,"2 532,00","2 638,00","0,00","0,00","40,20","44,11","42,22","23,62"
5,1/1/21 5:45,"2 485,00","2 645,00","0,00","0,00","40,20","36,98","42,22","109,17"
6,1/1/21 6:00,"2 449,00","2 533,00","0,00","0,00","39,63","34,25","42,31","44,42"
6,1/1/21 6:15,"2 420,00","2 553,00","0,00","0,00","39,63","37,06","42,31","53,89"
6,1/1/21 6:30,"2 399,00","2 477,00","0,00","0,00","39,63","43,36","42,31","109,17"
6,1/1/21 6:45,"2 383,00","2 420,00","0,00","0,00","39,63","50,29","42,31","83,65"
7,1/1/21 7:00,"2 373,00","2 377,00","0,00","0,00","40,09","30,33","43,15","62,65"
7,1/1/21 7:15,"2 376,00","2 401,00","0,00","0,00","40,09","41,85","43,15","17,78"
7,1/1/21 7:30,"2 379,00","2 365,00","0,00","0,00","40,09","48,74","43,15","24,77"
7,1/1/21 7:45,"2 388,00","2 230,00","0,00","0,00","40,09","54,33","43,15","32,96"
8,1/1/21 8:00,"2 398,00","2 158,00","5,00","6,00","41,27","43,96","46,84","13,25"
8,1/1/21 8:15,"2 417,00","2 250,00","52,00","55,00","41,27","41,88","46,84","2,36"
8,1/1/21 8:30,"2 442,00","2 291,00","185,00","183,00","41,27","44,68","46,84","0,46"
8,1/1/21 8:45,"2 460,00","2 317,00","422,00","409,00","41,27","61,13","46,84","-11,59"
9,1/1/21 9:00,"2 477,00","2 340,00","741,00","709,00","44,88","44,95","49,57","-48,59"
9,1/1/21 9:15,"2 508,00","2 397,00","1 088,00","1 066,00","44,88","48,77","49,57","13,18"
9,1/1/21 9:30,"2 539,00","2 372,00","1 458,00","1 473,00","44,88","49,31","49,57","13,33"
9,1/1/21 9:45,"2 570,00","2 392,00","1 835,00","1 931,00","44,88","52,92","49,57","14,63"
10,1/1/21 10:00,"2 600,00","2 389,00","2 204,00","2 337,00","45,00","44,33","48,45","-3,35"
10,1/1/21 10:15,"2 575,00","2 390,00","2 550,00","2 691,00","45,00","49,04","48,45","2,64"
10,1/1/21 10:30,"2 551,00","2 357,00","2 873,00","3 104,00","45,00","40,93","48,45","31,01"
10,1/1/21 10:45,"2 528,00","2 397,00","3 174,00","3 394,00","45,00","49,66","48,45","14,32"
11,1/1/21 11:00,"2 502,00","2 396,00","3 447,00","3 805,00","47,20","44,77","48,13","32,53"
11,1/1/21 11:15,"2 506,00","2 301,00","3 678,00","4 173,00","47,20","51,08","48,13","36,44"
11,1/1/21 11:30,"2 535,00","2 297,00","3 854,00","4 345,00","47,20","47,53","48,13","36,18"
11,1/1/21 11:45,"2 562,00","2 320,00","3 981,00","4 548,00","47,20","44,61","48,13","24,72"
12,1/1/21 12:00,"2 602,00","2 389,00","4 071,00","4 648,00","50,78","58,73","52,02","73,20"
12,1/1/21 12:15,"2 647,00","2 314,00","4 117,00","4 911,00","50,78","57,54","52,02","72,80"
12,1/1/21 12:30,"2 726,00","2 310,00","4 100,00","4 809,00","50,78","58,16","52,02","77,98"
12,1/1/21 12:45,"2 847,00","2 380,00","4 022,00","4 856,00","50,78","54,92","52,02","70,30"
13,1/1/21 13:00,"2 968,00","2 281,00","3 905,00","4 929,00","45,49","56,71","48,94","5,33"
13,1/1/21 13:15,"3 066,00","2 333,00","3 750,00","4 642,00","45,49","51,07","48,94","62,78"
13,1/1/21 13:30,"3 147,00","2 223,00","3 547,00","4 319,00","45,49","49,25","48,94","59,62"
13,1/1/21 13:45,"3 224,00","2 314,00","3 301,00","3 916,00","45,49","42,67","48,94","56,98"
14,1/1/21 14:00,"3 297,00","2 234,00","3 018,00","3 551,00","44,73","49,31","49,08","57,50"
14,1/1/21 14:15,"3 351,00","2 201,00","2 692,00","3 114,00","44,73","45,71","49,08","66,12"
14,1/1/21 14:30,"3 408,00","2 310,00","2 328,00","2 644,00","44,73","53,76","49,08","72,57"
14,1/1/21 14:45,"3 463,00","2 396,00","1 935,00","2 200,00","44,73","57,47","49,08","69,71"
15,1/1/21 15:00,"3 512,00","2 549,00","1 525,00","1 669,00","46,59","47,56","50,79","54,92"
15,1/1/21 15:15,"3 624,00","2 449,00","1 124,00","1 153,00","46,59","50,16","50,79","67,35"
15,1/1/21 15:30,"3 733,00","2 392,00","736,00","741,00","46,59","54,87","50,79","74,88"
15,1/1/21 15:45,"3 836,00","2 426,00","397,00","385,00","46,59","59,17","50,79","75,22"
16,1/1/21 16:00,"3 946,00","2 612,00","161,00","154,00","52,99","52,95","55,85","98,21"
16,1/1/21 16:15,"4 092,00","2 800,00","39,00","35,00","52,99","62,23","55,85","74,36"
16,1/1/21 16:30,"4 236,00","3 033,00","3,00","3,00","52,99","63,90","55,85","129,55"
16,1/1/21 16:45,"4 372,00","3 260,00","0,00","0,00","52,99","67,16","55,85","32,09"
17,1/1/21 17:00,"4 499,00","3 418,00","0,00","0,00","60,26","59,41","63,00","19,18"
17,1/1/21 17:15,"4 608,00","3 586,00","0,00","0,00","60,26","61,40","63,00","31,80"
17,1/1/21 17:30,"4 694,00","3 785,00","0,00","0,00","60,26","62,35","63,00","29,34"
17,1/1/21 17:45,"4 781,00","3 865,00","0,00","0,00","60,26","61,51","63,00","27,46"
18,1/1/21 18:00,"4 859,00","3 998,00","0,00","0,00","60,61","62,43","62,15","76,07"
18,1/1/21 18:15,"4 928,00","4 065,00","0,00","0,00","60,61","61,33","62,15","69,57"
18,1/1/21 18:30,"4 971,00","4 190,00","0,00","0,00","60,61","63,31","62,15","-30,30"
18,1/1/21 18:45,"4 988,00","4 301,00","0,00","0,00","60,61","60,73","62,15","45,19"
19,1/1/21 19:00,"4 983,00","4 470,00","0,00","0,00","60,36","71,16","62,97","11,64"
19,1/1/21 19:15,"4 979,00","4 608,00","0,00","0,00","60,36","64,95","62,97","14,86"
19,1/1/21 19:30,"4 984,00","4 679,00","0,00","0,00","60,36","59,63","62,97","14,47"
19,1/1/21 19:45,"4 998,00","4 670,00","0,00","0,00","60,36","55,53","62,97","14,75"
20,1/1/21 20:00,"5 016,00","4 677,00","0,00","0,00","57,40","65,57","59,78","1,72"
20,1/1/21 20:15,"5 035,00","4 881,00","0,00","0,00","57,40","60,58","59,78","-2,05"
20,1/1/21 20:30,"5 058,00","5 061,00","0,00","0,00","57,40","52,96","59,78","78,71"
20,1/1/21 20:45,"5 087,00","5 083,00","0,00","0,00","57,40","49,66","59,78","52,01"
21,1/1/21 21:00,"5 117,00","4 936,00","0,00","0,00","53,86","61,23","54,10","93,80"
21,1/1/21 21:15,"5 166,00","4 877,00","0,00","0,00","53,86","56,88","54,10","71,75"
21,1/1/21 21:30,"5 216,00","4 989,00","0,00","0,00","53,86","51,19","54,10","62,81"
21,1/1/21 21:45,"5 241,00","5 041,00","0,00","0,00","53,86","45,91","54,10","1,55"
22,1/1/21 22:00,"5 217,00","5 167,00","0,00","0,00","53,45","85,54","58,46","10,05"
22,1/1/21 22:15,"5 176,00","5 300,00","0,00","0,00","53,45","68,09","58,46","-4,40"
22,1/1/21 22:30,"5 133,00","5 396,00","0,00","0,00","53,45","51,24","58,46","4,85"
22,1/1/21 22:45,"5 098,00","5 532,00","0,00","0,00","53,45","38,46","58,46","7,38"
23,1/1/21 23:00,"5 062,00","5 610,00","0,00","0,00","49,72","57,41","49,38","14,49"
23,1/1/21 23:15,"5 020,00","5 634,00","0,00","0,00","49,72","52,74","49,38","10,63"
23,1/1/21 23:30,"4 966,00","5 691,00","0,00","0,00","49,72","39,10","49,38","14,49"
23,1/1/21 23:45,"4 912,00","5 547,00","0,00","0,00","49,72","27,32","49,38","23,63"
0,1/2/21 0:00,"4 603,00","5 282,00","0,00","0,00","46,69","61,99","43,09","-26,33"
0,1/2/21 0:15,"4 594,00","5 147,00","0,00","0,00","46,69","43,17","43,09","-9,87"
0,1/2/21 0:30,"4 575,00","5 132,00","0,00","0,00","46,69","41,52","43,09","-5,60"
0,1/2/21 0:45,"4 536,00","5 043,00","0,00","0,00","46,69","31,06","43,09","4,34"
1,1/2/21 1:00,"4 479,00","4 937,00","0,00","0,00","42,43","45,84","42,56","-4,87"
1,1/2/21 1:15,"4 410,00","4 829,00","0,00","0,00","42,43","46,76","42,56","-17,14"
1,1/2/21 1:30,"4 341,00","4 771,00","0,00","0,00","42,43","42,37","42,56","-0,85"
1,1/2/21 1:45,"4 275,00","4 750,00","0,00","0,00","42,43","33,66","42,56","-36,80"
2,1/2/21 2:00,"4 205,00","4 675,00","0,00","0,00","41,09","39,17","37,49","9,51"
2,1/2/21 2:15,"4 126,00","4 756,00","0,00","0,00","41,09","24,38","37,49","-4,80"
2,1/2/21 2:30,"4 038,00","4 654,00","0,00","0,00","41,09","22,35","37,49","2,20"
2,1/2/21 2:45,"3 952,00","4 603,00","0,00","0,00","41,09","20,03","37,49","-2,91"
3,1/2/21 3:00,"3 867,00","4 601,00","0,00","0,00","40,00","30,21","36,56","19,54"
3,1/2/21 3:15,"3 812,00","4 582,00","0,00","0,00","40,00","30,57","36,56","11,56"
3,1/2/21 3:30,"3 758,00","4 398,00","0,00","0,00","40,00","36,07","36,56","5,38"
3,1/2/21 3:45,"3 709,00","4 338,00","0,00","0,00","40,00","35,04","36,56","4,52"
4,1/2/21 4:00,"3 661,00","4 297,00","0,00","0,00","37,55","33,72","35,27","-13,41"
4,1/2/21 4:15,"3 597,00","4 282,00","0,00","0,00","37,55","38,58","35,27","-23,47"
4,1/2/21 4:30,"3 536,00","4 213,00","0,00","0,00","37,55","31,16","35,27","-8,72"
4,1/2/21 4:45,"3 464,00","4 156,00","0,00","0,00","37,55","23,45","35,27","-7,19"
5,1/2/21 5:00,"3 393,00","4 196,00","0,00","0,00","39,00","40,72","39,98","51,03"
5,1/2/21 5:15,"3 340,00","4 146,00","0,00","0,00","39,00","41,47","39,98","46,32"
5,1/2/21 5:30,"3 292,00","4 036,00","0,00","0,00","39,00","41,14","39,98","12,02"
5,1/2/21 5:45,"3 246,00","3 941,00","0,00","0,00","39,00","43,84","39,98","17,01"
6,1/2/21 6:00,"3 214,00","3 834,00","0,00","0,00","42,09","46,20","42,27","-19,63"
6,1/2/21 6:15,"3 169,00","3 788,00","0,00","0,00","42,09","42,66","42,27","-11,20"
6,1/2/21 6:30,"3 129,00","3 723,00","0,00","0,00","42,09","39,66","42,27","-8,08"
6,1/2/21 6:45,"3 092,00","3 662,00","0,00","0,00","42,09","41,61","42,27","-14,30"
7,1/2/21 7:00,"3 045,00","3 706,00","0,00","0,00","44,96","39,76","46,14","-31,92"
7,1/2/21 7:15,"2 989,00","3 671,00","0,00","0,00","44,96","46,24","46,14","-42,80"
7,1/2/21 7:30,"2 928,00","3 620,00","0,00","0,00","44,96","44,39","46,14","-40,53"
7,1/2/21 7:45,"2 868,00","3 563,00","0,00","0,00","44,96","45,32","46,14","-30,81"
8,1/2/21 8:00,"2 807,00","3 473,00","4,00","4,00","48,45","38,20","43,87","-16,24"
8,1/2/21 8:15,"2 744,00","3 333,00","46,00","46,00","48,45","41,76","43,87","-34,89"
8,1/2/21 8:30,"2 684,00","3 281,00","185,00","187,00","48,45","39,22","43,87","-21,06"
8,1/2/21 8:45,"2 628,00","3 124,00","454,00","431,00","48,45","37,63","43,87","-41,41"
9,1/2/21 9:00,"2 571,00","3 053,00","830,00","674,00","52,00","36,11","49,08","14,63"
9,1/2/21 9:15,"2 485,00","2 925,00","1 244,00","928,00","52,00","43,51","49,08","14,63"
9,1/2/21 9:30,"2 398,00","2 848,00","1 667,00","1 244,00","52,00","51,88","49,08","-134,71"
9,1/2/21 9:45,"2 304,00","2 694,00","2 087,00","1 425,00","52,00","57,42","49,08","24,18"
10,1/2/21 10:00,"2 207,00","2 575,00","2 492,00","1 732,00","52,00","49,15","51,22","27,01"
10,1/2/21 10:15,"2 082,00","2 408,00","2 871,00","2 050,00","52,00","58,66","51,22","14,52"
10,1/2/21 10:30,"1 959,00","2 160,00","3 220,00","2 446,00","52,00","57,15","51,22","25,13"
10,1/2/21 10:45,"1 837,00","2 008,00","3 539,00","2 633,00","52,00","59,90","51,22","26,69"
11,1/2/21 11:00,"1 712,00","1 788,00","3 823,00","2 999,00","52,15","45,60","53,98","14,52"
11,1/2/21 11:15,"1 614,00","1 710,00","4 064,00","3 151,00","52,15","56,79","53,98","14,52"
11,1/2/21 11:30,"1 520,00","1 607,00","4 246,00","3 251,00","52,15","59,97","53,98","21,08"
11,1/2/21 11:45,"1 427,00","1 547,00","4 377,00","3 396,00","52,15","59,47","53,98","25,24"
12,1/2/21 12:00,"1 339,00","1 440,00","4 463,00","3 499,00","55,95","61,16","56,24","33,82"
12,1/2/21 12:15,"1 266,00","1 419,00","4 493,00","3 625,00","55,95","58,85","56,24","29,27"
12,1/2/21 12:30,"1 212,00","1 381,00","4 459,00","3 694,00","55,95","56,92","56,24","41,50"
12,1/2/21 12:45,"1 182,00","1 374,00","4 368,00","3 516,00","55,95","55,20","56,24","83,50"
13,1/2/21 13:00,"1 168,00","1 370,00","4 231,00","3 505,00","52,00","57,44","54,22","94,07"
13,1/2/21 13:15,"1 155,00","1 382,00","4 041,00","3 257,00","52,00","57,38","54,22","83,50"
13,1/2/21 13:30,"1 139,00","1 358,00","3 797,00","3 067,00","52,00","55,30","54,22","73,06"
13,1/2/21 13:45,"1 134,00","1 317,00","3 505,00","2 835,00","52,00","55,12","54,22","72,90"
14,1/2/21 14:00,"1 132,00","1 250,00","3 178,00","2 456,00","50,69","58,16","55,74","70,93"
14,1/2/21 14:15,"1 136,00","1 231,00","2 819,00","2 061,00","50,69","64,42","55,74","78,09"
14,1/2/21 14:30,"1 167,00","1 276,00","2 418,00","1 774,00","50,69","65,96","55,74","88,03"
14,1/2/21 14:45,"1 198,00","1 304,00","1 986,00","1 310,00","50,69","64,72","55,74","-16,19"
15,1/2/21 15:00,"1 225,00","1 430,00","1 554,00","1 003,00","53,45","51,31","55,87","32,51"
15,1/2/21 15:15,"1 337,00","1 520,00","1 133,00","737,00","53,45","54,12","55,87","37,49"
15,1/2/21 15:30,"1 443,00","1 662,00","734,00","433,00","53,45","55,74","55,87","-9,72"
15,1/2/21 15:45,"1 551,00","1 844,00","390,00","234,00","53,45","56,75","55,87","43,24"
16,1/2/21 16:00,"1 646,00","2 102,00","158,00","98,00","59,99","41,96","57,54","22,00"
16,1/2/21 16:15,"1 801,00","2 268,00","40,00","27,00","59,99","54,95","57,54","18,29"
16,1/2/21 16:30,"1 946,00","2 435,00","4,00","2,00","59,99","57,43","57,54","64,24"
16,1/2/21 16:45,"2 088,00","2 603,00","0,00","0,00","59,99","63,54","57,54","-18,39"
17,1/2/21 17:00,"2 237,00","2 777,00","0,00","0,00","62,00","51,32","62,22","72,27"
17,1/2/21 17:15,"2 379,00","2 929,00","0,00","0,00","62,00","60,53","62,22","71,38"
17,1/2/21 17:30,"2 502,00","2 997,00","0,00","0,00","62,00","64,26","62,22","68,11"
17,1/2/21 17:45,"2 626,00","3 119,00","0,00","0,00","62,00","64,52","62,22","32,63"
18,1/2/21 18:00,"2 743,00","3 252,00","0,00","0,00","63,08","68,51","61,80","18,29"
18,1/2/21 18:15,"2 848,00","3 481,00","0,00","0,00","63,08","60,36","61,80","16,99"
18,1/2/21 18:30,"2 930,00","3 594,00","0,00","0,00","63,08","58,11","61,80","16,19"
18,1/2/21 18:45,"2 982,00","3 765,00","0,00","0,00","63,08","50,06","61,80","18,29"
19,1/2/21 19:00,"3 023,00","3 984,00","0,00","0,00","62,17","66,21","60,86","32,74"
19,1/2/21 19:15,"3 070,00","4 303,00","0,00","0,00","62,17","54,77","60,86","89,05"
19,1/2/21 19:30,"3 127,00","4 423,00","0,00","0,00","62,17","56,31","60,86","17,05"
19,1/2/21 19:45,"3 194,00","4 595,00","0,00","0,00","62,17","44,79","60,86","15,49"
20,1/2/21 20:00,"3 266,00","4 800,00","0,00","0,00","60,03","63,20","56,74","30,23"
20,1/2/21 20:15,"3 332,00","4 964,00","0,00","0,00","60,03","58,51","56,74","13,54"
20,1/2/21 20:30,"3 414,00","5 215,00","0,00","0,00","60,03","53,74","56,74","10,14"
20,1/2/21 20:45,"3 499,00","5 329,00","0,00","0,00","60,03","40,19","56,74","6,21"
21,1/2/21 21:00,"3 585,00","5 383,00","0,00","0,00","55,03","57,64","51,79","6,76"
21,1/2/21 21:15,"3 698,00","5 530,00","0,00","0,00","55,03","54,92","51,79","30,29"
21,1/2/21 21:30,"3 813,00","5 640,00","0,00","0,00","55,03","46,66","51,79","16,81"
21,1/2/21 21:45,"3 930,00","5 717,00","0,00","0,00","55,03","38,14","51,79","11,58"
22,1/2/21 22:00,"4 035,00","5 869,00","0,00","0,00","52,25","57,84","47,88","28,43"
22,1/2/21 22:15,"4 170,00","6 141,00","0,00","0,00","52,25","44,24","47,88","27,05"
22,1/2/21 22:30,"4 307,00","6 319,00","0,00","0,00","52,25","44,48","47,88","-1,02"
22,1/2/21 22:45,"4 453,00","6 556,00","0,00","0,00","52,25","33,69","47,88","-0,71"
23,1/2/21 23:00,"4 600,00","6 790,00","0,00","0,00","48,45","41,86","41,17","16,80"
23,1/2/21 23:15,"4 732,00","7 110,00","0,00","0,00","48,45","37,79","41,17","14,27"
23,1/2/21 23:30,"4 886,00","7 569,00","0,00","0,00","48,45","32,65","41,17","-2,07"
23,1/2/21 23:45,"5 041,00","8 017,00","0,00","0,00","48,45","29,59","41,17","-94,13"
0,1/3/21 0:00,"7 088,00","8 464,00","0,00","0,00","46,11","45,42","40,40","-107,57"
0,1/3/21 0:15,"7 309,00","8 810,00","0,00","0,00","46,11","40,83","40,40","15,15"
0,1/3/21 0:30,"7 528,00","9 156,00","0,00","0,00","46,11","34,14","40,40","-68,86"
0,1/3/21 0:45,"7 737,00","9 433,00","0,00","0,00","46,11","31,78","40,40","-5,85"
1,1/3/21 1:00,"7 946,00","9 525,00","0,00","0,00","43,00","35,22","41,40","8,32"
1,1/3/21 1:15,"8 171,00","9 654,00","0,00","0,00","43,00","34,18","41,40","-13,88"
1,1/3/21 1:30,"8 398,00","9 917,00","0,00","0,00","43,00","43,44","41,40","-6,85"
1,1/3/21 1:45,"8 628,00","10 154,00","0,00","0,00","43,00","33,01","41,40","-26,11"
2,1/3/21 2:00,"8 872,00","10 515,00","0,00","0,00","39,55","36,42","35,78","-11,11"
2,1/3/21 2:15,"9 104,00","10 908,00","0,00","0,00","39,55","33,32","35,78","-9,20"
2,1/3/21 2:30,"9 342,00","11 253,00","0,00","0,00","39,55","26,77","35,78","-32,18"
2,1/3/21 2:45,"9 588,00","11 431,00","0,00","0,00","39,55","25,30","35,78","-21,70"
3,1/3/21 3:00,"9 835,00","11 985,00","0,00","0,00","35,18","30,31","30,35","6,55"
3,1/3/21 3:15,"10 145,00","12 222,00","0,00","0,00","35,18","32,79","30,35","-16,12"
3,1/3/21 3:30,"10 456,00","12 281,00","0,00","0,00","35,18","23,11","30,35","-7,53"
3,1/3/21 3:45,"10 771,00","12 702,00","0,00","0,00","35,18","24,14","30,35","-25,67"
4,1/3/21 4:00,"11 087,00","13 073,00","0,00","0,00","33,45","34,86","28,27","-7,87"
4,1/3/21 4:15,"11 435,00","13 386,00","0,00","0,00","33,45","36,92","28,27","-4,78"
4,1/3/21 4:30,"11 782,00","13 736,00","0,00","0,00","33,45","27,65","28,27","-5,48"
4,1/3/21 4:45,"12 138,00","13 981,00","0,00","0,00","33,45","8,99","28,27","-23,89"
5,1/3/21 5:00,"12 497,00","14 282,00","0,00","0,00","32,37","42,36","26,39","-32,64"
5,1/3/21 5:15,"12 939,00","14 861,00","0,00","0,00","32,37","33,39","26,39","-31,44"
5,1/3/21 5:30,"13 365,00","15 511,00","0,00","0,00","32,37","18,37","26,39","-32,75"
5,1/3/21 5:45,"13 877,00","16 023,00","0,00","0,00","32,37","-26,39","26,39","-71,42"
6,1/3/21 6:00,"14 439,00","16 820,00","0,00","0,00","31,70","21,38","20,62","25,97"
6,1/3/21 6:15,"14 883,00","17 060,00","0,00","0,00","31,70","18,87","20,62","29,25"
6,1/3/21 6:30,"15 256,00","17 377,00","0,00","0,00","31,70","9,08","20,62","56,30"
6,1/3/21 6:45,"15 564,00","17 406,00","0,00","0,00","31,70","0,48","20,62","-18,58"
7,1/3/21 7:00,"15 862,00","17 581,00","0,00","0,00","32,63","29,90","22,82","42,41"
7,1/3/21 7:15,"16 194,00","18 305,00","0,00","0,00","32,63","18,32","22,82","40,59"
7,1/3/21 7:30,"16 490,00","18 711,00","0,00","0,00","32,63","30,08","22,82","44,01"
7,1/3/21 7:45,"16 837,00","18 818,00","0,00","0,00","32,63","30,64","22,82","46,38"
8,1/3/21 8:00,"17 146,00","18 710,00","3,00","4,00","36,90","39,55","35,16","65,52"
8,1/3/21 8:15,"17 439,00","19 071,00","26,00","29,00","36,90","31,21","35,16","58,75"
8,1/3/21 8:30,"17 688,00","19 282,00","85,00","97,00","36,90","42,05","35,16","58,76"
8,1/3/21 8:45,"17 968,00","19 663,00","191,00","213,00","36,90","48,40","35,16","4,27"
9,1/3/21 9:00,"18 262,00","19 652,00","324,00","380,00","36,96","28,49","35,33","-10,52"
9,1/3/21 9:15,"18 474,00","19 760,00","497,00","524,00","36,96","34,35","35,33","24,83"
9,1/3/21 9:30,"18 632,00","20 199,00","687,00","718,00","36,96","39,63","35,33","89,56"
9,1/3/21 9:45,"18 750,00","20 433,00","888,00","776,00","36,96","42,67","35,33","27,64"
10,1/3/21 10:00,"18 875,00","20 173,00","1 089,00","915,00","36,96","32,77","36,19","31,82"
10,1/3/21 10:15,"19 059,00","20 385,00","1 281,00","1 133,00","36,96","38,28","36,19","15,29"
10,1/3/21 10:30,"19 243,00","20 409,00","1 450,00","1 145,00","36,96","41,09","36,19","15,56"
10,1/3/21 10:45,"19 437,00","20 469,00","1 598,00","1 250,00","36,96","44,80","36,19","12,99"
11,1/3/21 11:00,"19 631,00","20 435,00","1 725,00","1 333,00","43,72","35,31","41,15","15,33"
11,1/3/21 11:15,"19 809,00","20 829,00","1 826,00","1 382,00","43,72","44,98","41,15","105,71"
11,1/3/21 11:30,"20 012,00","20 851,00","1 898,00","1 413,00","43,72","45,13","41,15","87,60"
11,1/3/21 11:45,"20 202,00","21 237,00","1 945,00","1 475,00","43,72","45,68","41,15","81,02"
12,1/3/21 12:00,"20 390,00","21 467,00","1 973,00","1 504,00","47,71","52,74","46,86","82,96"
12,1/3/21 12:15,"20 584,00","21 544,00","1 980,00","1 511,00","47,71","51,08","46,86","22,29"
12,1/3/21 12:30,"20 810,00","21 753,00","1 961,00","1 479,00","47,71","53,30","46,86","83,23"
12,1/3/21 12:45,"21 080,00","22 174,00","1 915,00","1 428,00","47,71","45,97","46,86","59,72"
13,1/3/21 13:00,"21 340,00","21 687,00","1 847,00","1 387,00","40,41","48,73","43,88","82,68"
13,1/3/21 13:15,"21 605,00","21 731,00","1 754,00","1 350,00","40,41","47,02","43,88","58,53"
13,1/3/21 13:30,"21 827,00","21 597,00","1 637,00","1 243,00","40,41","43,74","43,88","60,27"
13,1/3/21 13:45,"22 017,00","21 824,00","1 502,00","1 133,00","40,41","40,85","43,88","60,97"
14,1/3/21 14:00,"22 188,00","21 572,00","1 355,00","1 039,00","39,66","49,96","44,13","68,78"
14,1/3/21 14:15,"22 393,00","21 608,00","1 201,00","926,00","39,66","51,67","44,13","66,56"
14,1/3/21 14:30,"22 561,00","21 597,00","1 034,00","774,00","39,66","48,36","44,13","61,30"
14,1/3/21 14:45,"22 739,00","21 928,00","850,00","629,00","39,66","46,70","44,13","68,26"
15,1/3/21 15:00,"22 909,00","21 863,00","661,00","471,00","39,57","39,32","40,93","66,09"
15,1/3/21 15:15,"23 150,00","22 084,00","482,00","336,00","39,57","37,63","40,93","51,59"
15,1/3/21 15:30,"23 386,00","22 231,00","320,00","223,00","39,57","41,00","40,93","64,12"
15,1/3/21 15:45,"23 628,00","22 112,00","189,00","138,00","39,57","42,54","40,93","68,31"
16,1/3/21 16:00,"23 867,00","21 924,00","89,00","75,00","36,11","40,01","45,44","64,12"
16,1/3/21 16:15,"24 048,00","21 859,00","26,00","23,00","36,11","41,77","45,44","68,90"
16,1/3/21 16:30,"24 226,00","22 142,00","3,00","3,00","36,11","53,96","45,44","128,77"
16,1/3/21 16:45,"24 391,00","22 199,00","0,00","0,00","36,11","57,69","45,44","177,77"
17,1/3/21 17:00,"24 559,00","22 062,00","0,00","0,00","45,04","45,21","52,83","92,15"
17,1/3/21 17:15,"24 655,00","22 171,00","0,00","0,00","45,04","57,17","52,83","133,29"
17,1/3/21 17:30,"24 772,00","22 128,00","0,00","0,00","45,04","60,24","52,83","126,94"
17,1/3/21 17:45,"24 887,00","22 227,00","0,00","0,00","45,04","64,34","52,83","112,46"
18,1/3/21 18:00,"25 005,00","21 918,00","0,00","0,00","52,56","77,33","61,38","116,86"
18,1/3/21 18:15,"25 115,00","22 131,00","0,00","0,00","52,56","70,15","61,38","105,19"
18,1/3/21 18:30,"25 237,00","22 059,00","0,00","0,00","52,56","72,02","61,38","113,84"
18,1/3/21 18:45,"25 389,00","22 313,00","0,00","0,00","52,56","73,81","61,38","121,44"
19,1/3/21 19:00,"25 524,00","22 094,00","0,00","0,00","45,84","78,12","60,97","135,99"
19,1/3/21 19:15,"25 497,00","21 739,00","0,00","0,00","45,84","74,82","60,97","20,88"
